season,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg3_per_g,fg3a_per_g,fg2_per_g,fg2a_per_g,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pts_per_g,mp,orb_pct,per,stl_pct,tov_pct,trb_pct,ts_pct
2001,Derek Fisher,PG,26,LAL,16,16,36,4.8,9.9,2.2,4.3,2.6,5.7,0.3,3.5,3.8,3,1.3,0.1,0.8,13.4,576,1,15.6,1.9,6.5,5.7,0.618
2001,Antonio Daniels,PG,25,SAS,13,8,31.2,4.8,10.1,1.3,3.5,3.5,6.5,0.3,1.7,2,2.9,0.5,0.1,1,13.5,406,1.1,16.4,0.9,8.2,3.4,0.601
2001,Steve Nash,PG,26,DAL,10,10,37,4.5,10.8,1.6,3.9,2.9,6.9,0.6,2.6,3.2,6.4,0.6,0.1,2.5,13.6,370,1.7,15.1,0.9,16.9,4.8,0.553
2000,Mark Jackson,PG,34,IND,23,23,27.6,3,7.7,0.9,2.9,2.1,4.7,0.5,3.2,3.7,7.7,0.8,0.1,1.9,8.1,634,2.3,17,1.6,18.5,8,0.493
2000,Randy Livingston,PG,24,PHO,7,3,9,0.9,3.9,0.3,0.9,0.6,3,0.3,0.7,1,0.6,0.6,0.1,0.6,2,63,3.3,0.5,3.4,12.9,5.9,0.259
1999,Avery Johnson,PG,33,SAS,17,17,38.4,5.4,11,0.1,0.2,5.3,10.8,0.5,1.9,2.5,7.4,1.2,0.1,2.9,12.6,653,1.8,15.2,1.7,19.4,3.9,0.518
1999,Mark Jackson,PG,33,IND,13,13,34.7,3.9,7.9,1.1,2.6,2.8,5.3,1.1,3.5,4.5,8.6,1.1,0.1,2.7,11.2,451,3.9,19.8,1.7,22.4,7.9,0.601
1999,Eric Snow,PG,25,PHI,8,8,38.3,4.6,11,0.4,1.6,4.3,9.4,0.4,3.8,4.1,7.1,1,0.1,3.1,12.4,306,1,14,1.5,20,6,0.496
1999,John Stockton,PG,36,UTA,11,11,32,3.8,9.5,0.4,1.1,3.5,8.5,1,2.3,3.3,8.4,1.6,0.1,2.8,11.1,352,3.8,18.1,2.8,19.8,6,0.487
1999,Damon Stoudamire,PG,25,POR,13,13,31,3.8,9.9,0.8,1.7,3,8.2,0.5,2.6,3.2,5.6,0.6,0.1,2.9,10.2,403,2.2,11.6,1.1,20.9,6.3,0.458
