season,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg3_per_g,fg3a_per_g,fg2_per_g,fg2a_per_g,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pts_per_g,mp,orb_pct,per,stl_pct,tov_pct,trb_pct,ts_pct
2022,Josh Okogie,SG,23,MIN,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
2021,Jared Dudley,PF,35,LAL,2,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,0,
2021,Josh Green,SG,20,DAL,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,0,
2021,Anthony Tolliver,PF,35,PHI,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-7.3,0,,0,
2020,Deonte Burton,SF,26,OKC,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
2020,Joakim Noah,C,34,LAC,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
2018,Dakari Johnson,C,22,OKC,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,0,
2018,Jerryd Bayless,SG,29,PHI,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
2018,Jason Smith,C,31,WAS,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
2018,Joe Young,PG,25,IND,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-5.8,0,,0,
2018,T.J. Leaf,PF,20,IND,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,0,
2016,Tyler Hansbrough,PF,30,CHO,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,0,
2015,Bernard James,C,29,DAL,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
2015,Greg Smith,PF,24,DAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
2014,Solomon Hill,SF,22,IND,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
2014,Hasheem Thabeet,C,26,OKC,2,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,-9.8,0,,0,
2013,Mirza Teletović,PF,27,BRK,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
2013,Dwayne Jones,PF,29,GSW,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
2012,Jimmy Butler,SG,22,CHI,3,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-4.9,0,,0,
2010,Brian Scalabrine,PF,31,BOS,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
2009,Speedy Claxton,PG,30,ATL,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,0,
2009,Dorell Wright,SF,23,MIA,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,0,
2008,Kris Humphries,PF,22,TOR,3,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
2008,Sean Marks,C,32,PHO,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,0,
2008,Eric Piatkowski,SF,37,PHO,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-8.9,0,,0,
2008,Ira Newble,SF,33,LAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
2007,Michael Doleac,C,29,MIA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
2007,Yakhouba Diawara,SG,24,DEN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
2007,Scot Pollard,C,31,CLE,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-6.7,0,,0,
2007,Dorell Wright,SF,21,MIA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
2006,Jason Kapono,SF,24,MIA,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
2006,Boštjan Nachbar,SF,25,NJN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
2006,Aaron McKie,PG,33,LAL,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,,0,
2005,Rodney Buford,SF,27,NJN,3,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,0,
2005,Jabari Smith,PF,27,NJN,3,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-8.5,0,,0,
2005,Clarence Weatherspoon,PF,34,HOU,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-17.6,0,,0,
2005,Zoran Planinić,PG,22,NJN,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,0,
2004,Shawn Bradley,C,31,DAL,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-6,0,,0,
2004,Michael Stewart,C,28,BOS,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-19,0,,0,
2004,Loren Woods,C,25,MIA,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
2004,Daniel Santiago,C,27,MIL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-19.3,0,,0,
2003,Mark Bryant,PF,37,BOS,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
2002,Marc Jackson,C,27,MIN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-17.8,0,,0,
2002,Vonteego Cummings,PG,25,PHI,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
2002,Rick Brunson,PG,29,POR,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
2002,Zach Randolph,PF,20,POR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
2001,Travis Knight,C,26,NYK,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-19.5,0,,0,
2001,Felton Spencer,C,33,NYK,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-9.7,0,,0,
2001,Joel Przybilla,C,21,MIL,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
2000,Tom Hammonds,PF,32,MIN,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
2000,John Thomas,C,24,TOR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
2000,Alvin Williams,PG,25,TOR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
1999,Alan Henderson,SF,26,ATL,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-5.3,0,,0,
1999,Nazr Mohammed,C,21,PHI,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,0,
1998,Mike Brown,C-F,34,PHO,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
1998,Bill Curley,PF,25,MIN,2,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,,0,
1998,Cherokee Parks,C,25,MIN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
1997,Lorenzo Williams,C,27,WSB,2,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,-3.7,0,,0,
1996,Theo Ratliff,C,22,DET,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,0,
1996,Eric Leckner,C,29,DET,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-11,0,,0,
1996,Antonio Lang,SF,23,CLE,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
1996,Donny Marshall,SF,23,CLE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
1996,Bobby Hurley,PG,24,SAC,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
1996,Kevin Gamble,SF,30,SAC,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,0,
1995,Joe Wolf,PF,30,CHH,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,0,
1994,Josh Grant,PF,26,GSW,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
1994,Jaren Jackson,SG,26,POR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
1992,LeRon Ellis,C,22,LAC,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
1992,Sean Green,SG,21,IND,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,0,
1992,Greg Dreiling,C,29,IND,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-11.2,0,,0,
1991,Tony Massenburg,PF,23,SAS,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
1990,Anthony Jones,SG,27,DAL,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,0,
1990,Eric Johnson,PG,23,UTA,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,0,
1990,Raymond Brown,PF,24,UTA,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,-5.7,0,,0,
1990,Adrian Caldwell,PF,23,HOU,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
1990,Randy White,PF,22,DAL,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
1990,Mel McCants,SF,22,LAL,2,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,-3.5,0,,0,
1989,Phil Hubbard,SF,32,CLE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
1988,Phil Zevenbergen,C,23,SAS,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
1988,Chris Washburn,C,22,ATL,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
1987,Jerome Henderson,PF,27,MIL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-16,0,,0,
1986,Harold Keeling,SG,22,DAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
1986,Kevin McKenna,SG,27,WSB,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
1986,Chuck Nevitt,C,26,DET,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
1985,Rod Higgins,SF,25,CHI,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
1985,George Johnson,C,36,NJN,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,0,
1985,Don Collins,SG,26,WSB,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
1984,Ray Tolbert,PF,25,DET,1,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
1983,George Johnson,C,34,ATL,1,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
1983,Charles Bradley,SG,23,BOS,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,0,
1983,Mike Davis,PF,26,NYK,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
1983,Charles Pittman,PF,24,PHO,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
1981,Sam Worthen,PG,23,CHI,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
2022,Garrett Temple,SG,35,NOP,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,6.2,0,,29.5,
2021,Tacko Fall,C,25,BOS,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,11.9,0,,57.8,
2021,Udoka Azubuike,C,21,UTA,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,12,0,,58.1,
2021,Jay Scrubb,SG,20,LAC,6,0,1.3,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,8,0,1.6,0,,7.2,
2020,Carsen Edwards,SG,21,BOS,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,3.8,0,,18.7,
2020,Tyler Cook,SF,22,DEN,1,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,5.8,0,,29.8,
2019,Gary Clark,PF,24,HOU,2,0,2,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,4,0,3,0,,14.1,
2019,Edmond Sumner,PG,23,IND,1,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,12.5,0,,54.5,
2016,Aaron Harrison,SG,21,CHO,2,0,3.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,7,0,-0.6,0,,8.2,
2014,Nando De Colo,SF,26,TOR,1,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,-5.4,0,,15.2,
2013,Ronnie Brewer,SF,27,OKC,1,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,0,-0.5,0,,7,
2013,Shavlik Randolph,PF,29,BOS,1,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,8.7,0,,60,
2013,Chris Wilcox,C,30,BOS,2,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,5,0,,20,
2011,Theo Ratliff,C,37,LAL,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,15.7,0,,62.5,
2011,Steve Novak,SF,27,SAS,1,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,2.5,0,,9.7,
2002,Chucky Brown,SF,33,SAC,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,-3.3,0,,53.5,
2001,Greg Foster,C,32,LAL,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,-1,0,,18.1,
2000,Eric Montross,C,28,DET,2,0,2.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,-1,0,,25.4,
1998,Brian Evans,SF,24,NJN,3,0,1.3,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,4,0,4.1,0,,15.7,
1995,Antonio Harvey,PF,24,LAL,3,0,1.3,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,4,0,4.1,0,,14.5,
1989,Chuck Nevitt,C,29,HOU,2,0,1.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,3,0,5.2,0,,19.1,
1987,Danny Vranes,SF,28,PHI,2,0,1.5,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,0,3,0,10.2,0,,56.8,
1982,Carlos Terry,SG,25,WSB,3,,1.7,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,5,0,3.4,0,,11.2,
1981,Jim Brewer,PF,29,LAL,3,,2.3,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,7,0,0,0,,6.8,
1981,Tom Owens,PF,31,POR,1,,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0.1,0,,11.5,
2019,Kyle O'Quinn,C,28,IND,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,-27.5,0,100,0,
2017,Lavoy Allen,PF,27,IND,3,0,3.7,0,0,0,0,0,0,0,0.7,0.7,0,0,0,0.3,0,11,0,-2.6,0,100,10.7,
2014,D.J. White,PF,27,CHA,1,0,3,0,0,0,0,0,0,0,2,2,0,0,0,1,0,3,0,-9.4,0,100,41.8,
2012,Sean Williams,C,25,BOS,2,0,3,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,6,0,-10.5,0,100,9.9,
2008,Antoine Wright,SG,23,DAL,1,0,7,0,0,0,0,0,0,0,1,1,0,0,0,2,0,7,0,-14.2,0,100,8,
2006,Eddie Gill,PG,27,IND,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,-59.5,0,100,0,
2002,Alvin Jones,C,23,PHI,2,0,2.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,5,0,-8.4,0,100,12.1,
2002,Jaren Jackson,SG,34,ORL,3,0,1.7,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0.3,0,5,0,-19.9,0,100,11.3,
1998,Duane Causwell,C,29,MIA,1,1,5,0,0,0,0,0,0,0,2,2,0,0,0,1,0,5,0,-4.8,0,100,24.4,
1989,Blair Rasmussen,C,26,DEN,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,4,0,-15,0,100,0,
1987,Kent Benson,C,32,UTA,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3,0,-16.3,0,100,0,
1981,Brad Holland,SG,24,LAL,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-48.8,0,100,0,
2022,Jared Butler,SG,21,UTA,1,0,5,0,2,0,0,0,2,0,1,1,0,0,0,0,0,5,0,-15.2,0,0,11.6,0
2022,Markieff Morris,PF,32,MIA,1,0,3,0,1,0,0,0,1,0,1,1,0,0,0,1,0,3,0,-39.3,0,50,19.6,0
2021,Matt Thomas,SG,26,UTA,3,0,2.3,0,0.7,0,0,0,0.7,0,0.3,0.3,0,0,0,0,0,7,0,-12,0,0,8.3,0
2021,Max Strus,SF,24,MIA,2,0,3,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,6,0,-6.6,0,0,0,0
2020,Noah Vonleh,C,24,DEN,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,-15.1,0,0,0,0
2019,Ekpe Udoh,C,31,UTA,2,0,3,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,6,0,-6.8,0,0,0,0
2018,Luke Babbitt,SF,28,MIA,2,0,1.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,3,0,-13.5,0,0,0,0
2018,Emeka Okafor,C,35,NOP,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,-13.8,0,0,0,0
2017,Kyle Singler,SF,28,OKC,1,0,10,0,1,0,0,0,1,0,1,1,0,0,0,0,0,10,0,-6,0,0,5.4,0
2017,Daniel Ochefu,C,23,WAS,4,0,1.3,0,0.3,0,0,0,0.3,0,0.3,0.3,0,0,0,0.3,0,5,0,-19.4,0,50,11.6,0
2015,Tim Frazier,PG,24,POR,2,0,1.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,3,0,-32.1,0,50,0,0
2015,Brendan Haywood,C,35,CLE,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,-21,0,0,0,0
2015,Gerald Wallace,SF,32,BOS,1,0,4,0,1,0,0,0,1,0,1,1,0,0,0,0,0,4,0,-6.9,0,0,13.7,0
2015,Darius Morris,PG,24,BRK,1,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,-8.2,0,0,0,0
2014,Austin Daye,SF,25,SAS,1,0,6,0,2,0,0,0,2,0,1,1,0,0,0,0,0,6,0,-11.5,0,0,9.8,0
2014,Victor Claver,SF,25,POR,2,0,3.5,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0.5,0,7,0,-9.7,0,36.2,38.7,0
2014,Andre Roberson,SG,22,OKC,2,0,4.5,0,1.5,0,0,0,1.5,0,1,1,0,0,0,0,0,9,0,-10.7,0,0,12.6,0
2014,Meyers Leonard,C,21,POR,4,0,2.3,0,0.5,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,9,0,-7.8,0,0,12.1,0
2014,Mike Muscala,PF,22,ATL,2,0,2.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,-16.9,0,0,0,0
2013,Jordan Hamilton,SF,22,DEN,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,-19.7,0,0,0,0
2013,Tyshawn Taylor,PG,22,BRK,2,0,1,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,2,0,-21.7,0,0,0,0
2013,Perry Jones,SF,21,OKC,1,0,5,0,1,0,0,0,1,0,1,1,0,0,0,0,0,5,0,-5.4,0,0,11.2,0
2012,Justin Harper,PF,22,ORL,1,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,-8.7,0,0,0,0
2011,Gary Forbes,SF,25,DEN,1,0,2,0,1,0,0,0,1,0,1,1,0,0,0,0,0,2,0,-12.4,0,0,27.8,0
2010,Jamaal Magloire,C,31,MIA,1,0,5,0,2,0,0,0,2,0,1,1,0,0,0,1,0,5,0,-28.1,0,33.3,12.4,0
2010,Kevin Ollie,PG,37,OKC,1,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,-8.2,0,0,0,0
2009,Aaron Gray,C,24,CHI,2,0,4.5,0,1,0,0,0,1,0,0.5,0.5,0,0,0,0.5,0,9,0,-13.8,0,33.3,6.5,0
2009,Adonal Foyle,C,33,ORL,2,0,2,0,0.5,0,0,0,0.5,0,0.5,0.5,0,0,0,0.5,0,4,0,-26.3,0,50,15.7,0
2009,Ryan Bowen,SF,33,NOH,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,-31,0,0,0,0
2009,Jeremy Richardson,SF,24,ORL,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,-50.3,0,50,0,0
2008,Steven Hunter,C,26,DEN,2,0,2.5,0,0.5,0,0,0,0.5,0,1,1,0,0,0,0,0,5,0,-1.9,0,0,21,0
2008,Juan Dixon,PG,29,DET,2,0,3.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,-12.3,0,0,0,0
2008,Malik Allen,PF,29,DAL,3,0,6,0,0.3,0,0,0,0.3,0,0,0,0,0,0,0,0,18,0,-6.5,0,0,0,0
2008,Chris Mihm,C,28,LAL,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,0,-42.9,0,50,0,0
2007,J.J. Barea,PG,22,DAL,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-10.3,0,0,0,0
2006,Andrew Bynum,C,18,LAL,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,-20.9,0,0,0,0
2005,Francisco Elson,C,28,DEN,1,0,6,0,1,0,0,0,1,0,3,3,0,0,0,0,0,6,0,1.3,0,0,29.2,0
2005,Steve Smith,SG,35,MIA,3,0,2.7,0,0.7,0,0,0,0.7,0,0,0,0,0,0,0,0,8,0,-9.8,0,0,0,0
2005,Billy Thomas,SF,29,NJN,2,0,1,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,2,0,-19.3,0,0,0,0
2005,Moochie Norris,PG,31,HOU,2,0,3.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,7,0,-5.7,0,0,0,0
2004,Dana Barros,SG,36,BOS,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-41,0,0,0,0
2004,Maurice Carter,SG,27,NOH,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,-21.4,0,0,0,0
2004,Samaki Walker,PF,27,MIA,4,0,2.8,0,0.5,0,0,0,0.5,0,0.3,0.3,0,0,0,0,0,11,0,-10.1,0,0,5.2,0
2004,Eric Piatkowski,SF,33,HOU,1,0,4,0,1,0,0,0,1,0,1,1,0,0,0,0,0,4,0,-11.7,0,0,14.4,0
2002,Chris Dudley,C,36,POR,2,0,1.5,0,0.5,0,0,0,0.5,0,1,1,0,0,0,0.5,0,3,0,-27.6,0,50,37.2,0
2002,Andrew DeClercq,C,28,ORL,2,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,9,0,-17.6,0,53.2,0,0
2002,Victor Alexander,C,32,DET,1,0,3,0,1,0,0,0,1,0,1,1,0,0,0,0,0,3,0,-8.8,0,0,19.8,0
2002,Rodney White,SF,21,DET,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,-50.4,0,50,0,0
2001,Jonathan Bender,SF,20,IND,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,-14.8,0,0,0,0
2001,Duane Causwell,C,32,MIA,1,0,5,0,1,0,0,0,1,0,3,3,0,0,0,0,0,5,0,-2,0,0,36.6,0
2000,Danny Manning,PF,33,MIL,1,0,5,0,1,0,0,0,1,0,1,1,0,0,0,0,0,5,0,-5.2,0,0,11.3,0
1999,Danny Schayes,C,39,ORL,1,0,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8,0,-5.2,0,0,0,0
1999,Ruben Patterson,SF,23,LAL,3,0,1.7,0,0.3,0,0,0,0.3,0,0,0,0,0,0,0.3,0,5,0,-19.4,0,50,0,0
1997,Donald Royal,SF,30,CHH,1,0,4,0,1,0,0,0,1,0,2,2,0,0,0,0,0,4,0,-6.5,0,0,33,0
1996,Elmore Spencer,C,26,POR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-41,0,0,0,0
1996,Charles Jones,PF,38,HOU,3,0,2.7,0,0.3,0,0,0,0.3,0,0.3,0.3,0,0,0,0,0,8,0,-2.6,0,0,7.3,0
1996,John Amaechi,PF,25,CLE,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,-21,0,0,0,0
1995,James Edwards,C,39,POR,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,-9.3,0,0,0,0
1995,Byron Houston,PF,25,SEA,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-38.5,0,0,0,0
1995,Greg Dreiling,C,32,CLE,1,0,7,0,2,0,0,0,2,0,1,1,0,0,0,0,0,7,0,-13.6,0,0,10.1,0
1995,Doug Christie,SG,24,NYK,2,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0.5,0,6,0,-43.7,0,20,0,0
1994,Ervin Johnson,C,26,SEA,2,0,4,0,0.5,0,0,0,0.5,0,2,2,0,0,0,0.5,0,8,0,-4.9,0,50,28.2,0
1994,Anthony Bowie,SG,30,ORL,2,0,6.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,13,0,-6.9,0,0,0,0
1993,James Donaldson,C,35,UTA,1,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,-7.3,0,0,0,0
1992,Jon Sundvold,PG,30,MIA,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,-25.5,0,0,0,0
1992,Tim McCormick,C,29,NYK,1,0,6,0,2,0,0,0,2,0,3,3,0,0,0,0,0,6,0,-6.4,0,0,30.5,0
1991,Kenny Williams,PF,21,IND,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-25.7,0,0,0,0
